College,Department,Category,Cutoff
Bapuji Institute of Engineering and Technology Davangere,CD Computer Sc. and Design,3AG,111399
Bapuji Institute of Engineering and Technology Davangere,CD Computer Sc. and Design,3BG,74170
Bapuji Institute of Engineering and Technology Davangere,CD Computer Sc. and Design,GM,67590
Bapuji Institute of Engineering and Technology Davangere,CD Computer Sc. and Design,GMK,75642
Bapuji Institute of Engineering and Technology Davangere,CD Computer Sc. and Design,GMR,81815
Bapuji Institute of Engineering and Technology Davangere,CD Computer Sc. and Design,SCG,191264
Bapuji Institute of Engineering and Technology Davangere,CD Computer Sc. and Design,SCR,231045
Bapuji Institute of Engineering and Technology Davangere,CD Computer Sc. and Design,STG,144540
Bapuji Institute of Engineering and Technology Davangere,CE Civil,1G,157642
Bapuji Institute of Engineering and Technology Davangere,CE Civil,2AG,175508
Bapuji Institute of Engineering and Technology Davangere,CE Civil,3AG,154874
Bapuji Institute of Engineering and Technology Davangere,CE Civil,3BG,155663
Bapuji Institute of Engineering and Technology Davangere,CE Civil,GM,138889
Bapuji Institute of Engineering and Technology Davangere,CE Civil,GMK,225504
Bapuji Institute of Engineering and Technology Davangere,CE Civil,GMR,195675
Bapuji Institute of Engineering and Technology Davangere,CE Civil,SCG,160729
Bapuji Institute of Engineering and Technology Davangere,CE Civil,STG,214064
Bapuji Institute of Engineering and Technology Davangere,CE Civil,STR,248973
Bapuji Institute of Engineering and Technology Davangere,CH Chemical,2AG,164413
Bapuji Institute of Engineering and Technology Davangere,CH Chemical,2BG,124942
Bapuji Institute of Engineering and Technology Davangere,CH Chemical,3AG,139698
Bapuji Institute of Engineering and Technology Davangere,CH Chemical,3BG,116680
Bapuji Institute of Engineering and Technology Davangere,CH Chemical,GM,111546
Bapuji Institute of Engineering and Technology Davangere,CH Chemical,GMR,116064
Bapuji Institute of Engineering and Technology Davangere,CH Chemical,SCG,222989
Bapuji Institute of Engineering and Technology Davangere,CH Chemical,STG,125236
Bapuji Institute of Engineering and Technology Davangere,CH Chemical,STR,187807
Bapuji Institute of Engineering and Technology Davangere,CS Computers,1G,40887
Bapuji Institute of Engineering and Technology Davangere,CS Computers,1R,47178
Bapuji Institute of Engineering and Technology Davangere,CS Computers,2AG,42173
Bapuji Institute of Engineering and Technology Davangere,CS Computers,2AK,44470
Bapuji Institute of Engineering and Technology Davangere,CS Computers,2AR,45653
Bapuji Institute of Engineering and Technology Davangere,CS Computers,2BG,47453
Bapuji Institute of Engineering and Technology Davangere,CS Computers,2BR,60573
Bapuji Institute of Engineering and Technology Davangere,CS Computers,3AG,41141
Bapuji Institute of Engineering and Technology Davangere,CS Computers,3AR,42586
Bapuji Institute of Engineering and Technology Davangere,CS Computers,3BG,35176
Bapuji Institute of Engineering and Technology Davangere,CS Computers,3BK,39010
Bapuji Institute of Engineering and Technology Davangere,CS Computers,3BR,38936
Bapuji Institute of Engineering and Technology Davangere,CS Computers,GM,31391
Bapuji Institute of Engineering and Technology Davangere,CS Computers,GMK,33740
Bapuji Institute of Engineering and Technology Davangere,CS Computers,GMR,38590
Bapuji Institute of Engineering and Technology Davangere,CS Computers,SCG,86413
Bapuji Institute of Engineering and Technology Davangere,CS Computers,SCK,87850
Bapuji Institute of Engineering and Technology Davangere,CS Computers,SCR,98437
Bapuji Institute of Engineering and Technology Davangere,CS Computers,STG,68516
Bapuji Institute of Engineering and Technology Davangere,CS Computers,STK,93726
Bapuji Institute of Engineering and Technology Davangere,CS Computers,STR,82242
Bapuji Institute of Engineering and Technology Davangere,DS Comp. Sc. Engg- Data Sc.,1G,79106
Bapuji Institute of Engineering and Technology Davangere,DS Comp. Sc. Engg- Data Sc.,2AG,58113
Bapuji Institute of Engineering and Technology Davangere,DS Comp. Sc. Engg- Data Sc.,2AK,87241
Bapuji Institute of Engineering and Technology Davangere,DS Comp. Sc. Engg- Data Sc.,2AR,68765
Bapuji Institute of Engineering and Technology Davangere,DS Comp. Sc. Engg- Data Sc.,2BG,54066
Bapuji Institute of Engineering and Technology Davangere,DS Comp. Sc. Engg- Data Sc.,3AG,65964
Bapuji Institute of Engineering and Technology Davangere,DS Comp. Sc. Engg- Data Sc.,3BG,49732
Bapuji Institute of Engineering and Technology Davangere,DS Comp. Sc. Engg- Data Sc.,GM,47786
Bapuji Institute of Engineering and Technology Davangere,DS Comp. Sc. Engg- Data Sc.,GMR,60865
Bapuji Institute of Engineering and Technology Davangere,DS Comp. Sc. Engg- Data Sc.,SCG,136333
Bapuji Institute of Engineering and Technology Davangere,DS Comp. Sc. Engg- Data Sc.,SCR,180804
Bapuji Institute of Engineering and Technology Davangere,DS Comp. Sc. Engg- Data Sc.,STG,72123
Bapuji Institute of Engineering and Technology Davangere,EC Electronics,1G,58069
Bapuji Institute of Engineering and Technology Davangere,EC Electronics,2AG,53325
Bapuji Institute of Engineering and Technology Davangere,EC Electronics,2AR,67210
Bapuji Institute of Engineering and Technology Davangere,EC Electronics,2BG,74438
Bapuji Institute of Engineering and Technology Davangere,EC Electronics,3AG,64951
Bapuji Institute of Engineering and Technology Davangere,EC Electronics,3BG,50364
Bapuji Institute of Engineering and Technology Davangere,EC Electronics,3BR,50773
Bapuji Institute of Engineering and Technology Davangere,EC Electronics,GM,44274
Bapuji Institute of Engineering and Technology Davangere,EC Electronics,GMK,45547
Bapuji Institute of Engineering and Technology Davangere,EC Electronics,GMR,49995
Bapuji Institute of Engineering and Technology Davangere,EC Electronics,SCG,118578
Bapuji Institute of Engineering and Technology Davangere,EC Electronics,SCK,135221
Bapuji Institute of Engineering and Technology Davangere,EC Electronics,SCR,120116
Bapuji Institute of Engineering and Technology Davangere,EC Electronics,STG,96766
Bapuji Institute of Engineering and Technology Davangere,EC Electronics,STR,105280
Bapuji Institute of Engineering and Technology Davangere,EE Electrical,1G,144092
Bapuji Institute of Engineering and Technology Davangere,EE Electrical,2AG,100971
Bapuji Institute of Engineering and Technology Davangere,EE Electrical,2AR,111702
Bapuji Institute of Engineering and Technology Davangere,EE Electrical,2BG,102678
Bapuji Institute of Engineering and Technology Davangere,EE Electrical,3AG,132498
Bapuji Institute of Engineering and Technology Davangere,EE Electrical,3BG,78753
Bapuji Institute of Engineering and Technology Davangere,EE Electrical,GM,77430
Bapuji Institute of Engineering and Technology Davangere,EE Electrical,GMK,88501
Bapuji Institute of Engineering and Technology Davangere,EE Electrical,GMR,91710
Bapuji Institute of Engineering and Technology Davangere,EE Electrical,SCG,141665
Bapuji Institute of Engineering and Technology Davangere,EE Electrical,SCR,159893
Bapuji Institute of Engineering and Technology Davangere,EE Electrical,STG,115210
Bapuji Institute of Engineering and Technology Davangere,IE Info.Science,1G,60411
Bapuji Institute of Engineering and Technology Davangere,IE Info.Science,1R,92827
Bapuji Institute of Engineering and Technology Davangere,IE Info.Science,2AG,59166
Bapuji Institute of Engineering and Technology Davangere,IE Info.Science,2AK,59714
Bapuji Institute of Engineering and Technology Davangere,IE Info.Science,2AR,70536
Bapuji Institute of Engineering and Technology Davangere,IE Info.Science,2BG,71952
Bapuji Institute of Engineering and Technology Davangere,IE Info.Science,2BR,126588
Bapuji Institute of Engineering and Technology Davangere,IE Info.Science,3AG,61144
Bapuji Institute of Engineering and Technology Davangere,IE Info.Science,3AR,69492
Bapuji Institute of Engineering and Technology Davangere,IE Info.Science,3BG,48558
Bapuji Institute of Engineering and Technology Davangere,IE Info.Science,3BR,54039
Bapuji Institute of Engineering and Technology Davangere,IE Info.Science,GM,46982
Bapuji Institute of Engineering and Technology Davangere,IE Info.Science,GMK,48767
Bapuji Institute of Engineering and Technology Davangere,IE Info.Science,GMR,53755
Bapuji Institute of Engineering and Technology Davangere,IE Info.Science,SCG,146996
Bapuji Institute of Engineering and Technology Davangere,IE Info.Science,SCK,160884
Bapuji Institute of Engineering and Technology Davangere,IE Info.Science,SCR,176425
Bapuji Institute of Engineering and Technology Davangere,IE Info.Science,STG,114831
Bapuji Institute of Engineering and Technology Davangere,IE Info.Science,STK,194065
Bapuji Institute of Engineering and Technology Davangere,IE Info.Science,STR,114914
Bapuji Institute of Engineering and Technology Davangere,ME Mechanical,GM,264174
Bapuji Institute of Engineering and Technology Davangere,ME Mechanical,GMR,264662
Bapuji Institute of Engineering and Technology Davangere,TX Textiles,GM,273184
SJM Institute of Techonology Chitradurga,CE Civil,2AG,270108
SJM Institute of Techonology Chitradurga,CE Civil,3BG,271043
SJM Institute of Techonology Chitradurga,CE Civil,GM,261609
SJM Institute of Techonology Chitradurga,CE Civil,GMR,270310
SJM Institute of Techonology Chitradurga,CE Civil,SCG,268336
SJM Institute of Techonology Chitradurga,CE Civil,STG,270723
SJM Institute of Techonology Chitradurga,CS Computers,1G,95595
SJM Institute of Techonology Chitradurga,CS Computers,2AG,121561
SJM Institute of Techonology Chitradurga,CS Computers,2AK,129606
SJM Institute of Techonology Chitradurga,CS Computers,2AR,128410
SJM Institute of Techonology Chitradurga,CS Computers,2BG,104046
SJM Institute of Techonology Chitradurga,CS Computers,3AG,116973
SJM Institute of Techonology Chitradurga,CS Computers,3BG,107025
SJM Institute of Techonology Chitradurga,CS Computers,3BR,123670
SJM Institute of Techonology Chitradurga,CS Computers,GM,94709
SJM Institute of Techonology Chitradurga,CS Computers,GMK,97814
SJM Institute of Techonology Chitradurga,CS Computers,GMR,110185
SJM Institute of Techonology Chitradurga,CS Computers,SCG,159001
SJM Institute of Techonology Chitradurga,CS Computers,SCK,164951
SJM Institute of Techonology Chitradurga,CS Computers,SCR,180383
SJM Institute of Techonology Chitradurga,CS Computers,STG,129262
SJM Institute of Techonology Chitradurga,CS Computers,STR,158964
SJM Institute of Techonology Chitradurga,EC Electronics,1G,144302
SJM Institute of Techonology Chitradurga,EC Electronics,1R,156005
SJM Institute of Techonology Chitradurga,EC Electronics,2AG,156687
SJM Institute of Techonology Chitradurga,EC Electronics,2AR,168100
SJM Institute of Techonology Chitradurga,EC Electronics,2BG,151580
SJM Institute of Techonology Chitradurga,EC Electronics,3AG,141534
SJM Institute of Techonology Chitradurga,EC Electronics,3BG,124919
SJM Institute of Techonology Chitradurga,EC Electronics,GM,123846
SJM Institute of Techonology Chitradurga,EC Electronics,GMK,126531
SJM Institute of Techonology Chitradurga,EC Electronics,GMR,130174
SJM Institute of Techonology Chitradurga,EC Electronics,SCG,173248
SJM Institute of Techonology Chitradurga,EC Electronics,SCR,201995
SJM Institute of Techonology Chitradurga,EC Electronics,STG,168714
SJM Institute of Techonology Chitradurga,EC Electronics,STK,238516
SJM Institute of Techonology Chitradurga,EE Electrical,1G,156840
SJM Institute of Techonology Chitradurga,EE Electrical,2AG,175307
SJM Institute of Techonology Chitradurga,EE Electrical,2BG,164352
SJM Institute of Techonology Chitradurga,EE Electrical,3AR,258082
SJM Institute of Techonology Chitradurga,EE Electrical,3BG,165928
SJM Institute of Techonology Chitradurga,EE Electrical,GM,153919
SJM Institute of Techonology Chitradurga,EE Electrical,GMK,158087
SJM Institute of Techonology Chitradurga,EE Electrical,GMR,165032
SJM Institute of Techonology Chitradurga,EE Electrical,SCG,180956
SJM Institute of Techonology Chitradurga,EE Electrical,STG,181239
SJM Institute of Techonology Chitradurga,ME Mechanical,GM,272877
Adhichunchanagiri Institute of Technology Chickmagalur,AI Artificial Intelligence,1G,73729
Adhichunchanagiri Institute of Technology Chickmagalur,AI Artificial Intelligence,2AG,94304
Adhichunchanagiri Institute of Technology Chickmagalur,AI Artificial Intelligence,2BG,93621
Adhichunchanagiri Institute of Technology Chickmagalur,AI Artificial Intelligence,2BR,106183
Adhichunchanagiri Institute of Technology Chickmagalur,AI Artificial Intelligence,3AG,56486
Adhichunchanagiri Institute of Technology Chickmagalur,AI Artificial Intelligence,3BG,68517
Adhichunchanagiri Institute of Technology Chickmagalur,AI Artificial Intelligence,GM,55412
Adhichunchanagiri Institute of Technology Chickmagalur,AI Artificial Intelligence,GMR,67526
Adhichunchanagiri Institute of Technology Chickmagalur,AI Artificial Intelligence,SCG,142158
Adhichunchanagiri Institute of Technology Chickmagalur,AI Artificial Intelligence,SCR,144907
Adhichunchanagiri Institute of Technology Chickmagalur,AI Artificial Intelligence,STG,218082
Adhichunchanagiri Institute of Technology Chickmagalur,CE Civil,GM,269961
Adhichunchanagiri Institute of Technology Chickmagalur,CS Computers,1G,81960
Adhichunchanagiri Institute of Technology Chickmagalur,CS Computers,2AG,64031
Adhichunchanagiri Institute of Technology Chickmagalur,CS Computers,2AR,81829
Adhichunchanagiri Institute of Technology Chickmagalur,CS Computers,2BG,71756
Adhichunchanagiri Institute of Technology Chickmagalur,CS Computers,3AG,54877
Adhichunchanagiri Institute of Technology Chickmagalur,CS Computers,3BG,58714
Adhichunchanagiri Institute of Technology Chickmagalur,CS Computers,3BR,71419
Adhichunchanagiri Institute of Technology Chickmagalur,CS Computers,GM,53288
Adhichunchanagiri Institute of Technology Chickmagalur,CS Computers,GMK,56011
Adhichunchanagiri Institute of Technology Chickmagalur,CS Computers,GMR,63422
Adhichunchanagiri Institute of Technology Chickmagalur,CS Computers,SCG,102504
Adhichunchanagiri Institute of Technology Chickmagalur,CS Computers,SCK,116512
Adhichunchanagiri Institute of Technology Chickmagalur,CS Computers,SCR,144826
Adhichunchanagiri Institute of Technology Chickmagalur,CS Computers,STG,135651
Adhichunchanagiri Institute of Technology Chickmagalur,CS Computers,STR,164802
Adhichunchanagiri Institute of Technology Chickmagalur,DS Comp. Sci. Engg.,1K,218993
Adhichunchanagiri Institute of Technology Chickmagalur,DS Comp. Sci. Engg.,2AG,100144
Adhichunchanagiri Institute of Technology Chickmagalur,DS Comp. Sc. Engg-,2AR,136221
Adhichunchanagiri Institute of Technology Chickmagalur,DS Comp. Sc. Engg-,2BG,79127
Adhichunchanagiri Institute of Technology Chickmagalur,DS Comp. Sc. Engg-,3AG,80041
Adhichunchanagiriodoro Institute of Technology Chickmagalur,DS Comp. Sc. Engg-,3BG,70934
Adhichunchanagiri Institute of Technology Chickmagalur,DS Comp. Sc. Engg-,GM,68436
Adhichunchanagiri Institute of Technology Chickmagalur,DS Comp. Sc. Engg-,GMR,72728
Adhichunchanagiri Institute of Technology Chickmagalur,DS Comp. Sc. Engg-,SCG,188086
Adhichunchanagiri Institute of Technology Chickmagalur,DS Comp. Sc. Engg-,SCR,239136
Adhichunchanagiri Institute of Technology Chickmagalur,DS Comp. Sc. Engg-,STG,243246
Adhichunchanagiri Institute of Technology Chickmagalur,EC Electronics,1G,132063
Adhichunchanagiri Institute of Technology Chickmagalur,EC Electronics,2AG,101438
Adhichunchanagiri Institute of Technology Chickmagalur,2AK,154807,
Adhichunchanagiri Institute of Technology Chickmagalur,EC Electronics,2AR,128776
Adhichunchanagiri Institute of Technology Chickmagalur,EC Electronics,2BG,88038
Adhichunchanagiri Institute of Technology Chickmagalur,EC Electronics,3AG,88944
Adhichunchanagiri Institute of Technology Chickmagalur,EC Electronics,3BG,90659
Adhichunchanagiri Institute of Technology Chickmagalur,EC Electronics,3BR,93350
Adhichunchanagiri Institute of Technology Chickmagalur,EC Electronics,GM,87154
Adhichunchanagiri Institute of Technology Chickmagalur,EC Electronics,GMK,87427
Adhichunchanagiri Institute of Technology Chickmagalur,EC Electronics,GMR,91890
Adhichunchanagiri Institute of Technology Chickmagalur,EC Electronics,SCG,214673
Adhichunchanagiri Institute of Technology Chickmagalur,EC Electronics,SCR,261758
Adhichunchanagiri Institute of Technology Chickmagalur,EC Electronics,STG,250322
Adhichunchanagiri Institute of Technology Chickmagalur,EE Electrical,1G,158571
Adhichunchanagiri Institute of Technology Chickmagalur,EE Electrical,2AG,132706
Adhichunchanagiri Institute of Technology Chickmagalur,EE Electrical,2AK,192344
Adhichunchanagiri Institute of Technology Chickmagalur,EE Electrical,2AR,233550
Adhichunchanagiri Institute of Technology Chickmagalur,EE Electrical,2BG,165920
Adhichunchanagiri Institute of Technology Chickmagalur,EE Electrical,3AG,135072
Adhichunchanagiri Institute of Technology Chickmagalur,EE Electrical,3BG,134124
Adhichunchanagiri Institute of Technology Chickmagalur,EE Electrical,GM,123182
Adhichunchanagiri Institute of Technology Chickmagalur,EE Electrical,GMK,151052
Adhichunchanagiri Institute of Technology Chickmagalur,EE Electrical,GMR,143743
Adhichunchanagiri Institute of Technology Chickmagalur,EE Electrical,SCG,224710
Adhichunchanagiri Institute of Technology Chickmagalur,EE Electrical,SCR,242356
Adhichunchanagiri Institute of Technology Chickmagalur,IE Info.Science,1G,66292
Adhichunchanagiri Institute of Technology Chickmagalur,IE Info.Science,2AG,97194
Adhichunchanagiri Institute of Technology Chickmagalur,IE Info.Science,2BG,84453
Adhichunchanagiri Institute of Technology Chickmagalur,IE Info.Science,3AG,64691
Adhichunchanagiri Institute of Technology Chickmagalur,IE Info.Science,3AR,76884
Adhichunchanagiri Institute of Technology Chickmagalur,IE Info.Science,3BG,69729
Adhichunchanagiri Institute of Technology Chickmagalur,IE Info.Science,3BK,99160
Adhichunchanagiri Institute of Technology Chickmagalur,IE Info.Science,GM,62333
Adhichunchanagiri Institute of Technology Chickmagalur,IE Info.Science,GMR,69156
Adhichunchanagiri Institute of Technology Chickmagalur,IE Info.Science,SCG,179547
Adhichunchanagiri Institute of Technology Chickmagalur,IE Info.Science,STG,170441
Adhichunchanagiri Institute of Technology Chickmagalur,ME Mechanical,GM,273680
Adhichunchanagiri Institute of Technology Chickmagalur,RI Robotics and AI,1G,172857
Adhichunchanagiri Institute of Technology Chickmagalur,RI Robotics and AI,2AG,147521
Adhichunchanagiri Institute of Technology Chickmagalur,RI Robotics and AI,GM,100273
Adhichunchanagiri Institute of Technology Chickmagalur,RI Robotics and AI,GMR,113360
Adhichunchanagiri Institute of Technology Chickmagalur,RI Robotics and AI,SCG,211222
Adhichunchanagiri Institute of Technology Chickmagalur,RI Robotics and AI,STG,151881
Jawaharlal Nehru National College of Engineering Shimoga,AI Artificial Intelligence,1G,46035
Jawaharlal Nehru National College of Engineering Shimoga,AI Artificial Intelligence,2AG,40534
Jawaharlal Nehru National College of Engineering Shimoga,AI Artificial Intelligence,2BR,81047
Jawaharlal Nehru National College of Engineering Shimoga,AI Artificial Intelligence,3AG,42217
Jawaharlal Nehru National College of Engineering Shimoga,AI Artificial Intelligence,3AK,56865
Jawaharlal Nehru National College of Engineering Shimoga,AI Artificial Intelligence,3BG,35804
Jawaharlal Nehru National College of Engineering Shimoga,AI Artificial Intelligence,GM,32618
Jawaharlal Nehru National College of Engineering Shimoga,AI Artificial Intelligence,GMR,40658
Jawaharlal Nehru National College of Engineering Shimoga,AI Artificial Intelligence,SCG,78638
Jawaharlal Nehru National College of Engineering Shimoga,AI Artificial Intelligence,SCR,94574
Jawaharlal Nehru National College of Engineering Shimoga,AI Artificial Intelligence,STG,84377
Jawaharlal Nehru National College of Engineering Shimoga,CE Civil,2AG,270735
Jawaharlal Nehru National College of Engineering Shimoga,CE Civil,2BG,247787
Jawaharlal Nehru National College of Engineering Shimoga,CE Civil,3AG,272121
Jawaharlal Nehru National College of Engineering Shimoga,CE Civil,GM,211357
Jawaharlal Nehru National College of Engineering Shimoga,CE Civil,GMK,233304
Jawaharlal Nehru National College of Engineering Shimoga,CE Civil,GMR,236882
Jawaharlal Nehru National College of Engineering Shimoga,CE Civil,SCG,269573
Jawaharlal Nehru National College of Engineering Shimoga,CE Civil,STG,268232
Jawaharlal Nehru National College of Engineering Shimoga,CS Computers,1G,31646
Jawaharlal Nehru National College of Engineering Shimoga,CS Computers,2AG,33867
Jawaharlal Nehru National College of Engineering Shimoga,CS Computers,2AK,44401
Jawaharlal Nehru National College of Engineering Shimoga,CS Computers,2AR,40939
Jawaharlal Nehru National College of Engineering Shimoga,CS Computers,2BG,31191
Jawaharlal Nehru National College of Engineering Shimoga,CS Computers,3AG,29109
Jawaharlal Nehru National College of Engineering Shimoga,CS Computers,3AR,37913
Jawaharlal Nehru National College of Engineering Shimoga,CS Computers,3BR,43138
Jawaharlal Nehru National College of Engineering Shimoga,CS Computers,GM,27679
Jawaharlal Nehru National College of Engineering Shimoga,CS Computers,GMK,36178
Jawaharlal Nehru National College of Engineering Shimoga,CS Computers,GMR,39091
Jawaharlal Nehru National College of Engineering Shimoga,CS Computers,SCG,83997
Jawaharlal Nehru National College of Engineering Shimoga,CS Computers,SCK,101308
Jawaharlal Nehru National College of Engineering Shimoga,CS Computers,SCR,97859
Jawaharlal Nehru National College of Engineering Shimoga,CS Computers,STG,56027
Jawaharlal Nehru National College of Engineering Shimoga,CS Computers,STR,52765
Jawaharlal Nehru National College of Engineering Shimoga,DS Comp. Sc. Engg-Data Sc.,1G,55440
Jawaharlal Nehru National College of Engineering Shimoga,DS Comp. Sc. Engg-Data Sc.,1K,160983
Jawaharlal Nehru National College of Engineering Shimoga,DS Comp. Sc. Engg-Data Sc.,2AG,62083
Jawaharlal Nehru National College of Engineering Shimoga,DS Comp. Sc. Engg-Data Sc.,2AR,63069
Jawaharlal Nehru National College of Engineering Shimoga,DS Comp. Sc. Engg-Data Sc.,2BG,72620
Jawaharlal Nehru National College of Engineering Shimoga,DS Comp. Sc. Engg-Data Sc.,3AG,43271
Jawaharlal Nehru National College of Engineering Shimoga,DS Comp. Sc. Engg-Data Sc.,3BG,42046
Jawaharlal Nehru National College of Engineering Shimoga,DS Comp. Sc. Engg-Data Sc.,GM,41111
Jawaharlal Nehru National College of Engineering Shimoga,DS Comp. Sc. Engg-Data Sc.,GMR,50554
Jawaharlal Nehru National College of Engineering Shimoga,DS Comp. Sc. Engg-Data Sc.,SCG,121029
Jawaharlal Nehru National College of Engineering Shimoga,DS Comp. Sc. Engg-Data Sc.,SCR,141062
Jawaharlal Nehru National College of Engineering Shimoga,DS Comp. Sc. Engg-Data Sc.,STG,97610
Jawaharlal Nehru National College of Engineering Shimoga,EC Electronics,1G,66288
Jawaharlal Nehru National College of Engineering Shimoga,EC Electronics,2AG,70424
Jawaharlal Nehru National College of Engineering Shimoga,EC Electronics,2AR,75318
Jawaharlal Nehru National College of Engineering Shimoga,EC Electronics,2BG,48213
Jawaharlal Nehru National College of Engineering Shimoga,EC Electronics,3AG,48600
Jawaharlal Nehru National College of Engineering Shimoga,EC Electronics,3AR,52557
Jawaharlal Nehru National College of Engineering Shimoga,EC Electronics,3BR,55268
Jawaharlal Nehru National College of Engineering Shimoga,EC Electronics,GM,46353
Jawaharlal Nehru National College of Engineering Shimoga,EC Electronics,GMK,66757
Jawaharlal Nehru National College of Engineering Shimoga,EC Electronics,GMR,52647
Jawaharlal Nehru National College of Engineering Shimoga,EC Electronics,SCG,148004
Jawaharlal Nehru National College of Engineering Shimoga,EC Electronics,SCK,176337
Jawaharlal Nehru National College of Engineering Shimoga,EC Electronics,SCR,168825
Jawaharlal Nehru National College of Engineering Shimoga,EC Electronics,STG,150609
Jawaharlal Nehru National College of Engineering Shimoga,EC Electronics,STR,240465
Jawaharlal Nehru National College of Engineering Shimoga,EE Electrical,1G,152519
Jawaharlal Nehru National College of Engineering Shimoga,EE Electrical,2AG,134881
Jawaharlal Nehru National College of Engineering Shimoga,EE Electrical,2BG,119996
Jawaharlal Nehru National College of Engineering Shimoga,EE Electrical,3AG,109041
Jawaharlal Nehru National College of Engineering Shimoga,EE Electrical,3AR,142500
Jawaharlal Nehru National College of Engineering Shimoga,EE Electrical,3BG,109122
Jawaharlal Nehru National College of Engineering Shimoga,EE Electrical,GM,106492
Jawaharlal Nehru National College of Engineering Shimoga,EE Electrical,GMK,123406
Jawaharlal Nehru National College of Engineering Shimoga,EE Electrical,GMR,127408
Jawaharlal Nehru National College of Engineering Shimoga,EE Electrical,SCG,195449
Jawaharlal Nehru National College of Engineering Shimoga,EE Electrical,STG,213941
Jawaharlal Nehru National College of Engineering Shimoga,ET Elec. Telecommn. Engg.,1G,151417
Jawaharlal Nehru National College of Engineering Shimoga,ET Elec. Telecommn. Engg.,2AG,147372
Jawaharlal Nehru National College of Engineering Shimoga,ET Elec. Telecommn. Engg.,2BG,135778
Jawaharlal Nehru National College of Engineering Shimoga,ET Elec. Telecommn. Engg.,3AG,118679
Jawaharlal Nehru National College of Engineering Shimoga,ET Elec. Telecommn. Engg.,3AR,237372
Jawaharlal Nehru National College of Engineering Shimoga,ET Elec. Telecommn. Engg.,3BG,88922
Jawaharlal Nehru National College of Engineering Shimoga,ET Elec. Telecommn. Engg.,GM,87971
Jawaharlal Nehru National College of Engineering Shimoga,ET Elec. Telecommn. Engg.,GMK,165446
Jawaharlal Nehru National College of Engineering Shimoga,ET Elec. Telecommn. Engg.,GMR,113157
Jawaharlal Nehru National College of Engineering Shimoga,ET Elec. Telecommn. Engg.,SCG,176756
Jawaharlal Nehru National College of Engineering Shimoga,IE Info.Science,1G,53008
Jawaharlal Nehru National College of Engineering Shimoga,IE Info.Science,2AG,51539
Jawaharlal Nehru National College of Engineering Shimoga,IE Info.Science,2AK,56652
Jawaharlal Nehru National College of Engineering Shimoga,IE Info.Science,2AR,61355
Jawaharlal Nehru National College of Engineering Shimoga,IE Info.Science,2BG,62122
Jawaharlal Nehru National College of Engineering Shimoga,IE Info.Science,2BK,93933
Jawaharlal Nehru National College of Engineering Shimoga,IE Info.Science,3AG,56174
Jawaharlal Nehru National College of Engineering Shimoga,IE Info.Science,3AR,44331
Jawaharlal Nehru National College of Engineering Shimoga,IE Info.Science,3BR,50251
Jawaharlal Nehru National College of Engineering Shimoga,IE Info.Science,GM,40527
Jawaharlal Nehru National College of Engineering Shimoga,IE Info.Science,GMK,49365
Jawaharlal Nehru National College of Engineering Shimoga,IE Info.Science,GMR,47662
Jawaharlal Nehru National College of Engineering Shimoga,IE Info.Science,SCG,130172
Jawaharlal Nehru National College of Engineering Shimoga,IE Info.Science,SCK,168490
Jawaharlal Nehru National College of Engineering Shimoga,IE Info.Science,SCR,202957
Jawaharlal Nehru National College of Engineering Shimoga,IE Info.Science,STG,115501
Jawaharlal Nehru National College of Engineering Shimoga,IE Info.Science,STR,153680
Jawaharlal Nehru National College of Engineering Shimoga,ME Mechanical,2AG,260620
Jawaharlal Nehru National College of Engineering Shimoga,ME Mechanical,2BG,217985
Jawaharlal Nehru National College of Engineering Shimoga,ME Mechanical,3AG,263170
Jawaharlal Nehru National College of Engineering Shimoga,ME Mechanical,GM,207243
Jawaharlal Nehru National College of Engineering Shimoga,ME Mechanical,SCG,260729
Jawaharlal Nehru National College of Engineering Shimoga,RI Robotics and AI,1G,81312
Jawaharlal Nehru National College of Engineering Shimoga,RI Robotics and AI,2AG,81687
Jawaharlal Nehru National College of Engineering Shimoga,RI Robotics and AI,2AR,105513
Jawaharlal Nehru National College of Engineering Shimoga,RI Robotics and AI,2BG,86980
Jawaharlal Nehru National College of Engineering Shimoga,RI Robotics and AI,3AG,93814
Jawaharlal Nehru National College of Engineering Shimoga,RI Robotics and AI,3BG,79174
Jawaharlal Nehru National College of Engineering Shimoga,RI Robotics and AI,GM,78350
Jawaharlal Nehru National College of Engineering Shimoga,RI Robotics and AI,GMK,152970
Jawaharlal Nehru National College of Engineering Shimoga,RI Robotics and AI,GMR,103729
Jawaharlal Nehru National College of Engineering Shimoga,RI Robotics and AI,SCG,155267
Jawaharlal Nehru National College of Engineering Shimoga,RI Robotics and AI,SCR,229449
Jawaharlal Nehru National College of Engineering Shimoga,RI Robotics and AI,STG,110407
University B.D.T. college of Engineering (H.GOV) Davangere,CE Civil,1G,154680
University B.D.T. college of Engineering (H.GOV) Davangere,CE Civil,1K,243717
University B.D.T. college of Engineering (H.GOV) Davangere,CE Civil,2AG,209395
University B.D.T. college of Engineering (H.GOV) Davangere,CE Civil,2AR,212346
University B.D.T. college of Engineering (H.GOV) Davangere,CE Civil,2BG,189678
University B.D.T. college of Engineering (H.GOV) Davangere,CE Civil,3AG,174706
University B.D.T. college of Engineering (H.GOV) Davangere,CE Civil,3BG,152856
