College,Department,Category,Cutoff
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EC Electronics,GM,9130
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EC Electronics,GMK,15038
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EC Electronics,GMR,11968
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EC Electronics,SCG,44383
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EC Electronics,SCK,49110
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EC Electronics,SCR,48895
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EC Electronics,STG,34812
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EC Electronics,STR,37639
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EE Electrical,1G,29282
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EE Electrical,1K,51745
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EE Electrical,1R,39563
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EE Electrical,2AG,33108
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EE Electrical,2AK,40667
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EE Electrical,2AR,42160
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EE Electrical,2BG,33101
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EE Electrical,3AG,26819
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EE Electrical,3BG,30581
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EE Electrical,3BR,35222
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EE Electrical,GM,22286
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EE Electrical,"IC CS-IoT  Cyber
Security",27704
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EE Electrical,GMR,27495
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EE Electrical,SCG,69479
